,country_code,Country Name,year,disbursement_amount,cancer,air_pollution_death,alchol_abuse,basic_sanitation,drinking_water,hand_wash,fuel_tech,crude_suicide,tuberculosis,NTDs,doctors,poisoning,unsafe_wash,tobacco,UHC_coverage,life_expectancy,UHC_data_access,population
79,MDG,Madagascar,2016,1936979,22.9,158.6,1.88,10.12,35.55,49.24,5,3.8,233,18863123,0.191,4.03,30.23,30,24,65.5,0.34,24894380
80,MEX,Mexico,2015,218183,15.9,36.67,4.92,89.42,94.26,87.79,85,5.6,22,9923501,23.25,0.58,1.06,15.2,76,78.61,0.54,121858258
81,MEX,Mexico,2016,642048,15.7,38.67,4.92,90.3,95.44,87.82,85,0,22,9532039,23.24,0.57,1.06,14.8,76,78.61,0.54,123333376
82,MLI,Mali,2015,1733285,24.8,209.1,1.25,36.18,64.59,51.74,5,4.8,57,18291866,1.9,4.27,70.72,12.1,35,61.41,0.41,17438778
83,MLI,Mali,2016,2312328,24.6,229.1,1.25,37.75,66.46,51.99,5,4.8,56,18605778,1.4,4.16,70.72,12.1,35,61.41,0.41,17965429
84,MNG,Mongolia,2015,2878410,30.4,155.9,10.97,57.98,52.86,71.14,44,13.1,428,43,32.19,2.23,1.29,29,62,72.13,0.46,2998439
85,MNG,Mongolia,2016,2603144,30.2,155.8,10.97,58.46,54.69,71.16,46,13.1,428,47,28.59,2.17,1.29,28.4,62,72.13,0.46,3056359
86,MOZ,Mozambique,2015,3444576,18.4,110,2.19,26.87,35.54,12.23,5,4.9,361,23150013,0.41,3.6,27.63,16,43,59.45,0.34,27042002
87,MOZ,Mozambique,2016,19234203,18.4,179,2.19,28.11,37.74,12.23,5,7.9,361,23920538,0.5,3.49,27.63,15.4,43,59.45,0.34,27829942
88,MWI,Malawi,2015,1501809,16.3,115,3.62,25.58,63.31,9.66,5,3.6,197,11426323,0.67,2.58,27.63,14.3,43,66.47,0.43,16745303
89,MWI,Malawi,2016,6939510,16.4,234,3.62,25.9,64.36,9.18,5,10.6,176,11435030,0.17,2.49,28.29,13.8,43,66.47,0.43,17205289
90,NAM,Namibia,2015,1715210,21.6,145,5.23,33.9,68.89,43.86,44,9,639,1073269,0.591,1.65,18.32,18.6,61,66.22,0.36,2314904
91,NAM,Namibia,2016,9718731,21.3,255,5.23,34.21,69.05,44.24,45,13,604,1097233,0.312,1.56,18.32,18.3,61,66.22,0.36,2358041
92,NER,Niger,2015,46672,20.2,251.8,0.55,12.75,41.6,5.3,5,4.7,95,15779050,0.47,5.36,70.81,8.4,35,62.86,0.43,20001663
93,NER,Niger,2016,44062,20,250.8,0.55,13.16,42.62,5.3,5,0,93,15233885,0.43,5.28,70.81,8.4,35,62.86,0.43,20788838
94,NGA,Nigeria,2015,505393,22.3,307.4,10.81,37.68,53.11,41.59,5,9.6,219,141000000,0.13,3.76,68.63,5.1,42,62.8,0.49,181137448
95,NGA,Nigeria,2016,10794946,22.5,377.4,10.81,38.41,54.35,41.77,7,13.6,219,129000000,4.49,3.74,68.63,5,42,62.8,0.49,185960289
96,NIC,Nicaragua,2015,1624425,14.4,55.71,5.03,73.39,59.5,45.94,47,12.2,50,933780,9.31,0.8,2.24,23,71,77.32,0.39,6223240
97,NIC,Nicaragua,2016,1580879,14.2,55.61,5.03,74.39,59.25,45.94,47,12.9,46,926646,9.54,0.8,2.24,27.8,71,77.32,0.39,6303974
98,NPL,Nepal,2015,68230,22.2,193.8,2.05,55.74,87.48,49.79,27,9.1,268,18850311,0.595,0.59,19.83,35.7,51,71.39,0.49,27015031
99,NPL,Nepal,2016,1527,21.8,83.8,2.05,58.87,88.11,48.79,28,0,260,17552881,0.91,0.56,19.83,34.3,71,71.39,0.49,27261131
100,OMN,Oman,2015,30393,18.1,120.2,0.77,100,77.9,97.4,95,4.1,8.8,5,20.89,0.69,0.1,9.6,71,74.09,0.56,4267348
101,PAN,Panama,2015,2098563,13.2,26.37,7.71,81.14,90.52,45.94,88,3.9,52,437597,15.69,0.53,1.9,7.9,76,81.38,0.44,3968487
102,PAN,Panama,2016,2284864,13,26.97,7.71,82.23,91.69,45.94,88,0,56,453129,15.69,0.54,1.9,7.6,76,81.38,0.44,4037078
103,PER,Peru,2015,3768692,12.8,63.86,6.63,73.34,72.73,45.94,74,4.9,122,2831613,13.05,1.25,1.28,11.7,77,80.56,0.7,30470734
104,PER,Peru,2016,3494326,12.6,62.86,6.63,73.85,74.16,45.94,76,0,120,2814779,13.05,1.21,1.28,11,77,80.56,0.7,30926032
105,PHL,Philippines,2015,2380394,26.9,185.2,6.7,74.26,88.68,78.41,43,3.2,550,43430927,0.8,0.3,4.19,25.8,57,73.66,0.49,102113212
106,PHL,Philippines,2016,3177654,26.8,225.2,6.7,75.4,89.32,78.44,44,0.1,554,49110117,0.6,0.3,4.19,25.1,57,73.66,0.49,103663927
107,PNG,Papua New Guinea,2015,143135,29.9,152,1.39,14.13,33.38,45.94,7,6,432,6425746,0.051,2.78,16.31,8.9,41,66.54,0.26,8107775
108,PNG,Papua New Guinea,2016,1271754,30,252,1.39,13.54,34,45.94,8,0,432,6528722,0.07,2.62,16.31,13.2,41,66.54,0.26,8271760
109,PRY,Paraguay,2015,1024145,17.7,57.48,7.26,87.67,94.27,79.53,65,9.9,40,795686,0.28,0.39,1.46,14.6,68,78.6,0.46,6688746
110,PRY,Paraguay,2016,1183125,17.5,57.88,7.26,88.73,97.02,79.57,66,0,41,790833,0.24,0.37,1.46,14,68,78.6,0.46,6777872
111,ROU,Romania,2015,39727,21.5,120.2,11.64,82.81,100,43.74,80,11.6,82,26,2.257,0.5,0.4,27.5,73,78.42,0.49,19815481
112,RWA,Rwanda,2015,2001933,18.3,121.4,9.26,64.24,51.22,4.23,5,6.8,61,5065110,1.13,3.42,19.35,14.2,54,69.82,0.46,11369071
113,RWA,Rwanda,2016,8898423,18.2,181.4,9.26,65.41,51.93,4.42,5,0,62,5190529,1.23,3.25,19.35,13.9,54,69.82,0.46,11668818
114,SAU,Saudi Arabia,2016,225101,16.4,83.71,1.8,99.91,99.86,45.94,95,0,10,1354,23.78,0.76,0.092,16.6,71,74,0.36,32442572
115,SEN,Senegal,2015,2255749,18.4,160.7,0.73,50.09,66.61,23.85,27,6.2,123,11849373,2.07,3.1,23.87,9.8,44,68.77,0.56,14578459
116,SEN,Senegal,2016,2251540,18.1,160.5,0.73,50.78,68.52,24,26,0,122,11635621,0.71,2.99,23.87,9.5,44,68.77,0.56,14993528
117,SLE,Sierra Leone,2015,209468,30,324.1,5.63,14.94,46.9,17.5,5,9.3,307,7500446,0.025,5.26,81.29,21.8,36,57.93,0.43,7171914
118,SLE,Sierra Leone,2016,1402355,30.5,394.1,5.63,15.29,48.52,18.38,5,0,304,7651657,0.015,5.22,81.29,21.1,36,57.93,0.43,7328838
119,SLV,El Salvador,2015,1099523,14.1,42.42,3.59,87.01,89.25,90.55,86,14,48,702992,15.66,0.36,2.01,13.6,75,78.02,0.51,6325124
120,SLV,El Salvador,2016,1065281,14,42.22,3.59,87.23,91.81,90.6,88,0,60,742568,15.66,0.35,2.01,13.3,75,78.02,0.51,6356143
121,SSD,South Sudan,2016,1313264,19.8,165.1,3.89,10.44,35.67,43.74,5,0,227,9991337,0.2618,5.29,63.29,10.8,22,68,0.34,10832512
